"","5 Factor 1","5 Factor 2","5 Factor 3","5 Factor 4","5 Factor 5"
"FFM",0.53,-0.07,-0.03,0.17,-0.04
"Insulin",0.04,0.02,0.14,-0.2,0.4
"AN",-0.51,0.27,0.03,0.26,-0.16
"ANX",0.04,0.47,0.01,0.41,0.59
"BMI",0.95,0.08,0.01,0.04,-0.07
"MDD",0.13,0.99,0.01,-0.09,0.22
"OCD",-0.26,0.1,0.05,0.06,0.23
"PTSD",0.08,1,-0.04,-0.08,-0.15
"BMI_Childhood",0.39,0.04,0.22,0.15,-0.42
"BFP",0.86,0.15,-0.06,-0.01,0
"Age_Menarche",0.04,-0.05,-1.04,0.14,0.06
"Tanner_StageMidAdol",0.04,-0.07,0.93,0.15,0.04
"BE_noAN",0.07,-0.09,-0.01,1,-0.17
