"","4 Factor 1","4 Factor 2","4 Factor 3","4 Factor 4"
"FFM",0.6,-0.12,-0.06,0.11
"Insulin",-0.13,-0.04,0,0.21
"AN",-0.38,0.19,0.11,0.15
"ANX_FS",-0.01,0.03,-0.08,0.82
"BEBROAD",0.26,0.07,0.11,0.36
"BMI",1,0.04,-0.01,-0.04
"MDD_WtGain_Case",0.67,0.13,0.02,-0.14
"MDD_WtLoss_Case",-0.31,-0.02,0,0.01
"OCSymptoms",-0.15,0.1,0.01,0.68
"PTSD_PCS",0.18,0.63,-0.05,0.29
"BMI_Childhood",0.59,-0.09,0.21,0.03
"BFP",0.87,0.12,-0.08,-0.01
"Neurotic",-0.05,0.7,-0.02,0.13
"Age_Menarche",0.07,-0.2,-1.08,0.25
"Tanner_StageMidAdol",0.05,-0.23,0.88,0.27
"Dep_Sx",0.08,1.03,0.05,-0.06
