"","1 Factor","2 Factor 1","2 Factor 2","3 Factor 1","3 Factor 2","3 Factor 3","4 Factor 1","4 Factor 2","4 Factor 3","4 Factor 4","5 Factor 1","5 Factor 2","5 Factor 3","5 Factor 4","5 Factor 5"
"FFM",0.58,0.58,-0.03,-0.01,0.57,0.03,0.6,-0.12,-0.06,0.11,0.61,-0.12,-0.06,0.1,0.09
"Insulin",-0.11,-0.12,0.1,0.08,-0.15,0.08,-0.13,-0.04,0,0.21,-0.15,-0.04,0,0.21,0.03
"AN",-0.31,-0.35,0.37,0.34,-0.38,0.1,-0.38,0.19,0.11,0.15,-0.37,0.22,0.11,0.14,0.16
"ANX_FS",0.05,-0.01,0.62,0.6,-0.07,0.17,-0.01,0.03,-0.08,0.82,-0.06,0.09,-0.07,0.78,0.22
"BEBROAD",0.34,0.3,0.42,0.39,0.23,0.21,0.26,0.07,0.11,0.36,0.21,0.12,0.11,0.36,0.03
"BMI",1,0.99,0.03,0.07,0.99,0.01,1,0.04,-0.01,-0.04,1,0.05,-0.01,-0.05,-0.06
"MDD_WtGain_Case",0.67,0.66,0.04,0.07,0.67,-0.02,0.67,0.13,0.02,-0.14,0.51,0.15,0.03,-0.08,-0.62
"MDD_WtLoss_Case",-0.32,-0.31,-0.01,-0.03,-0.31,0,-0.31,-0.02,0,0.01,-0.42,-0.01,0,0.06,-0.37
"OCSymptoms",-0.07,-0.13,0.64,0.6,-0.2,0.2,-0.15,0.1,0.01,0.68,-0.03,0.14,0.01,0.6,0.79
"PTSD_PCS",0.24,0.15,0.85,0.87,0.18,-0.08,0.18,0.63,-0.05,0.29,0.1,0.68,-0.05,0.28,-0.12
"BMI_Childhood",0.67,0.67,-0.05,-0.07,0.58,0.26,0.59,-0.09,0.21,0.03,0.6,-0.09,0.21,0.02,0.02
"BFP",0.85,0.84,0.11,0.16,0.86,-0.07,0.87,0.12,-0.08,-0.01,0.87,0.12,-0.08,-0.02,-0.01
"Neurotic",0.01,-0.07,0.84,0.86,-0.02,-0.13,-0.05,0.7,-0.02,0.13,-0.01,0.74,-0.02,0.1,0.21
"Age_Menarche",-0.32,-0.31,-0.04,0.12,0.02,-0.95,0.07,-0.2,-1.08,0.25,0.05,-0.19,-1.08,0.25,0.04
"Tanner_StageMidAdol",0.39,0.39,0.01,-0.16,0.03,1.02,0.05,-0.23,0.88,0.27,0.02,-0.23,0.88,0.27,0.05
"Dep_Sx",0.17,0.09,0.91,0.95,0.15,-0.17,0.08,1.03,0.05,-0.06,0.09,1.03,0.05,-0.1,-0.03
